0,1,2,3,4,5,6,7
"Table 18: Gross, net attendance rates in primary school level (6-11 years) by sex and residence",,,,,,,
,Province and area of residence,"Gross Attendance Rates[1],",,,"Net Attendance Rates[2],",,
,,GAR (%),,,NAR (%),,
,,Both sexes,Male,Female,Both sexes,Male,Female
,Rwanda,141.7,142,141.4,89.3,88.4,90.3
,Urban,136.5,136.7,136.2,91.6,91,92.2
,Rural,143.5,143.8,143.2,88.6,87.5,89.7
,City of Kigali,132.5,132.2,133,91.4,90.8,92
,Urban,131.9,131.7,132.2,92.3,91.9,92.7
,Rural,135.8,134.7,136.9,86.8,85.4,88.2
,Southern Province,146.6,147.3,145.9,90,88.8,91.2
,Urban,142.3,143.6,141,94.8,94.3,95.3
,Rural,147.3,147.9,146.7,89.2,88,90.5
,Western Province,139.8,140.3,139.4,87.9,86.9,88.8
,Urban,137.1,138,136.3,87.7,87.2,88.3
,Rural,140.6,141,140.2,87.9,86.9,88.9
,Northern Province,144.1,144.2,144,92.9,92.1,93.6
,Urban,140.1,140.8,139.4,93.9,93.3,94.4
,Rural,144.8,144.8,144.9,92.7,91.9,93.5
,Eastern Province,141.7,141.9,141.5,87.4,86.2,88.5
,Urban,138.8,138.7,139,91.2,90.3,92
,Rural,142.4,142.6,142.1,86.5,85.3,87.7
,,,,,,,
,"[1] GAR is the number of students attending a given level of education at any time during the reference academic year, regardless of age, expressed as a percentage of the official school-age population corresponding to the same level of education.",,,,,,
,[2] NAR is the number of pupils in the official age group for a given level of education who attend school at that level expressed as a percentage of the population in that age group. Table 17 includes the numbers used to calculate those indicators by sex and area of residence. ,,,,,,
