0,1,2,3,4,5,6,7
Table 100: Eastern Province population distribution by district and sector,,,,,,,
,District/Sector,Counts,,,Percentage,,
,,Total,Male,Female,Total,Male,Female
,Eastern Province,3563145,1734394,1828751,100,48.7,51.3
,Rwamagana,484953,243794,241159,100,50.3,49.7
,  Fumbwe,33074,15678,17396,100,47.4,52.6
,  Gahengeri,35732,17391,18341,100,48.7,51.3
,  Gishali,36692,18405,18287,100,50.2,49.8
,  Karenge,28525,13828,14697,100,48.5,51.5
,  Kigabiro,47358,23159,24199,100,48.9,51.1
,  Muhazi,53482,35163,18319,100,65.7,34.3
,  Munyaga,20812,9803,11009,100,47.1,52.9
,  Munyiginya,24197,11497,12700,100,47.5,52.5
,  Musha,27525,13209,14316,100,48,52
,  Muyumbu,56881,27582,29299,100,48.5,51.5
,  Mwulire,33936,16342,17594,100,48.2,51.8
,  Nyakaliro,37538,18145,19393,100,48.3,51.7
,  Nzige,19285,9341,9944,100,48.4,51.6
,  Rubona,29916,14251,15665,100,47.6,52.4
,Nyagatare,653861,318740,335121,100,48.7,51.3
,  Gatunda,35310,16767,18543,100,47.5,52.5
,  Karama,32949,15627,17322,100,47.4,52.6
,  Karangazi,96915,48020,48895,100,49.5,50.5
,  Katabagemu,43719,21082,22637,100,48.2,51.8
,  Kiyombe,18801,8956,9845,100,47.6,52.4
,  Matimba,28487,13771,14716,100,48.3,51.7
,  Mimuri,34373,16490,17883,100,48,52
,  Mukama,25659,12341,13318,100,48.1,51.9
,  Musheri,37343,18268,19075,100,48.9,51.1
,  Nyagatare,81915,40775,41140,100,49.8,50.2
,  Rukomo,43650,20892,22758,100,47.9,52.1
,  Rwempasha,38592,19234,19358,100,49.8,50.2
,  Rwimiyaga,82620,40685,41935,100,49.2,50.8
,  Tabagwe,53528,25832,27696,100,48.3,51.7
,Gatsibo,551164,264461,286703,100,48,52
,  Gasange,20725,10054,10671,100,48.5,51.5
,  Gatsibo,40940,19618,21322,100,47.9,52.1
,  Gitoki,43414,20690,22724,100,47.7,52.3
,  Kabarore,71769,34598,37171,100,48.2,51.8
,  Kageyo,24702,11849,12853,100,48,52
,  Kiramuruzi,40028,19099,20929,100,47.7,52.3
,  Kiziguro,39757,18924,20833,100,47.6,52.4
,  Muhura,33325,16046,17279,100,48.2,51.8
,  Murambi,38498,18436,20062,100,47.9,52.1
,  Ngarama,38006,18353,19653,100,48.3,51.7
,  Nyagihanga,28812,13858,14954,100,48.1,51.9
,  Remera,31771,15122,16649,100,47.6,52.4
,  Rugarama,49442,23625,25817,100,47.8,52.2
,  Rwimbogo,49975,24189,25786,100,48.4,51.6
,Kayonza,457156,221448,235708,100,48.4,51.6
,  Gahini,46009,22449,23560,100,48.8,51.2
,  Kabare,40228,19336,20892,100,48.1,51.9
,  Kabarondo,37839,18251,19588,100,48.2,51.8
,  Mukarange,54818,26744,28074,100,48.8,51.2
,  Murama,23381,11169,12212,100,47.8,52.2
,  Murundi,57809,28357,29452,100,49.1,50.9
,  Mwiri,37931,18640,19291,100,49.1,50.9
,  Ndego,24389,11908,12481,100,48.8,51.2
,  Nyamirama,38562,18342,20220,100,47.6,52.4
,  Rukara,38231,18408,19823,100,48.1,51.9
,  Ruramira,21185,10022,11163,100,47.3,52.7
,  Rwinkwavu,36774,17822,18952,100,48.5,51.5
,Kirehe,460860,221763,239097,100,48.1,51.9
,  Gahara,44462,21105,23357,100,47.5,52.5
,  Gatore,31687,15055,16632,100,47.5,52.5
,  Kigarama,37136,17878,19258,100,48.1,51.9
,  Kigina,34642,16666,17976,100,48.1,51.9
,  Kirehe,29547,13997,15550,100,47.4,52.6
,  Mahama,81014,39579,41435,100,48.9,51.1
,  Mpanga,40173,19480,20693,100,48.5,51.5
,  Musaza,30095,14355,15740,100,47.7,52.3
,  Mushikiri,32841,15833,17008,100,48.2,51.8
,  Nasho,33665,16077,17588,100,47.8,52.2
,  Nyamugari,42938,20867,22071,100,48.6,51.4
,  Nyarubuye,22660,10871,11789,100,48,52
,Ngoma,404048,192720,211328,100,47.7,52.3
,  Gashanda,19345,9214,10131,100,47.6,52.4
,  Jarama,31122,14942,16180,100,48,52
,  Karembo,17726,8445,9281,100,47.6,52.4
,  Kazo,32450,15597,16853,100,48.1,51.9
,  Kibungo,31445,14976,16469,100,47.6,52.4
,  Mugesera,28637,13624,15013,100,47.6,52.4
,  Murama,26702,12686,14016,100,47.5,52.5
,  Mutenderi,24915,11870,13045,100,47.6,52.4
,  Remera,32344,15422,16922,100,47.7,52.3
,  Rukira,29893,14301,15592,100,47.8,52.2
,  Rukumberi,39420,18739,20681,100,47.5,52.5
,  Rurenge,33391,15842,17549,100,47.4,52.6
,  Sake,28822,13762,15060,100,47.7,52.3
,  Zaza,27836,13300,14536,100,47.8,52.2
,Bugesera,551103,271468,279635,100,49.3,50.7
,  Gashora,32251,16027,16224,100,49.7,50.3
,  Juru,33753,16443,17310,100,48.7,51.3
,  Kamabuye,24502,11960,12542,100,48.8,51.2
,  Mareba,29266,14127,15139,100,48.3,51.7
,  Mayange,54084,27433,26651,100,50.7,49.3
,  Musenyi,40610,19542,21068,100,48.1,51.9
,  Mwogo,30171,14802,15369,100,49.1,50.9
,  Ngeruka,37328,17900,19428,100,48,52
,  Ntarama,45530,22652,22878,100,49.8,50.2
,  Nyamata,81480,40096,41384,100,49.2,50.8
,  Nyarugenge,25406,12181,13225,100,47.9,52.1
,  Rilima,32862,17652,15210,100,53.7,46.3
,  Ruhuha,30028,14606,15422,100,48.6,51.4
,  Rweru,37976,18408,19568,100,48.5,51.5
,  Shyara,15856,7639,8217,100,48.2,51.8
