0,1,2,3,4,5,6,7
Table 12: Population aged 6-17 years by school attendance status,,,,,,,
, Area of residence,Sex,  Count,Total,No longer attending,Currently attending,Never attended
,Rwanda,Both sexes,3824658,100,12.5,81.3,6.2
,,Male,1910998,100,13.3,79.8,6.9
,,Female,1913660,100,11.6,82.9,5.5
,Urban,Both sexes,928365,100,10.2,84.9,4.9
,,Male,454356,100,9.5,85.3,5.3
,,Female,474009,100,10.9,84.6,4.5
,Rural,Both sexes,2896293,100,13.2,80.2,6.6
,,Male,1456642,100,14.6,78.1,7.4
,,Female,1439651,100,11.8,82.3,5.8
