0,1,2,3,4,5,6,7,8,9
"Table 36: Male Abridged Life Table, Rwanda 2022",,,,,,,,,
,Age,nMx,nqx, lx,ndx,nLx,5Px, Tx, ex
,0,0.03599,0.03491,100000,3491,97008,0.96009,6767807,67.7
,1,0.00319,0.01267,96509,1223,383038,0.99063,6670799,69.1
,5,0.00074,0.00371,95286,353,475549,0.99668,6287761,66
,10,0.00059,0.00293,94933,279,473969,0.99599,5812212,61.2
,15,0.00102,0.00509,94655,482,472067,0.99366,5338243,56.4
,20,0.00152,0.00759,94172,715,469075,0.99238,4866175,51.7
,25,0.00153,0.00764,93457,714,465502,0.99187,4397101,47
,30,0.00173,0.00862,92743,799,461717,0.99014,3931599,42.4
,35,0.00224,0.01111,91944,1022,457164,0.98629,3469882,37.7
,40,0.0033,0.01634,90922,1486,450894,0.97882,3012718,33.1
,45,0.00529,0.0261,89436,2334,441345,0.96629,2561824,28.6
,50,0.00848,0.04153,87102,3617,426467,0.94618,2120479,24.3
,55,0.01379,0.06665,83485,5564,403512,0.91565,1694012,20.3
,60,0.02179,0.10331,77920,8050,369477,0.87043,1290500,16.6
,65,0.03451,0.15886,69871,11100,321603,0.80277,921023,13.2
,70,0.05528,0.24285,58771,14272,258173,0.70553,599420,10.2
,75,0.08859,0.36264,44498,16137,182149,0.57393,341247,7.7
,80,0.14259,0.5256,28361,14907,104540,0.41223,159098,5.6
,85,0.22443,0.71882,13455,9672,43095,0.23918,54558,4.1
,90,0.33406,0.91017,3783,3443,10307,0.10081,11463,3
,95,0.29407,1,340,340,1156, ,1156,3.4
