0,1,2,3,4,5,6
Table 81: Percentage of private households practicing different types of agricultural activities by district ,,,,,,
,Province /District,Total number of households,Agricultural activity,,,
,,,Crop farming,Livestock husbandry,Horticulture,Apiculture
,Rwanda ,3312743,62.6,50.4,50.8,0.5
,City of Kigali  ,488868,15.8,13.7,20.6,0.2
,Nyarugenge,103985,14.5,12.1,20.6,0.2
,Gasabo,249420,18.3,15.7,21.8,0.2
,Kicukiro,135463,12.1,11.1,18.6,0.1
,Southern Province ,760173,75.6,63.6,60.2,0.7
,Nyanza,93007,74.5,60.8,57.9,0.6
,Gisagara,101145,82,63.1,67.6,0.7
,Nyaruguru,73805,84.5,73.6,70,0.6
,Huye,96037,72.4,59.3,60.7,0.4
,Nyamagabe,92052,81.9,72.2,56.3,0.9
,Ruhango,94508,71,60,54.5,0.5
,Muhanga,93241,74,67.1,62.6,0.8
,Kamonyi,116378,68.1,56.5,54.6,0.6
,Western Province ,671506,67.3,55.6,50.1,0.4
,Karongi,91444,76.8,66.2,60.5,0.8
,Rutsiro,86802,77.2,63,47.7,0.4
,Rubavu,124080,34,29.9,29.8,0.1
,Nyabihu,76391,64.3,51.9,39.1,0.3
,Ngororero,92623,82.1,73,55,0.6
,Rusizi,104937,68.8,50.4,55.6,0.3
,Nyamasheke,95229,78.5,64.2,67,0.5
,Northern Province ,506064,76.9,64.8,60,0.5
,Rulindo,91909,79.3,66.3,67.4,0.5
,Gakenke,93609,89,80.7,68.8,1
,Musanze,119387,59.4,44.4,43.6,0.2
,Burera,91786,78.3,64.5,55.3,0.3
,Gicumbi,109373,82.6,72.3,67.9,0.4
,Eastern Province ,886132,65.7,47.2,54.7,0.7
,Rwamagana,121051,58.9,43.5,56.8,0.6
,Nyagatare,160435,59.3,39.2,42.5,0.6
,Gatsibo,136208,72,53.7,58.8,0.8
,Kayonza,114186,68.4,45.7,53.9,0.7
,Kirehe,113886,68.8,51.5,57.5,0.6
,Ngoma,102589,77.4,57.9,68.4,1.1
,Bugesera,137777,59.4,42.8,51,0.8
