0,1,2,3,4,5,6
"Table 77: Percentage of private households[1], which have and used energy saving stove by District",,,,,,
,Province/District,Sex of the household head,,,Area of residence,
,,Total,Male,Female,Urban,Rural
,Rwanda,32.2,32.4,31.8,16,38.7
,City of Kigali,6.6,6.9,5.7,6,11.6
,Nyarugenge,5.6,5.8,5,5,9.9
,Gasabo,6.9,7.2,6,5.8,12.1
,Kicukiro,6.9,7.3,5.6,6.9,8.5
,Southern Province,50.7,50.7,50.8,29,54.3
,Nyanza,65.2,64.6,66.3,29.9,69
,Gisagara,76,75.8,76.4,76.5,76
,Nyaruguru,30.9,32,28.4,16.5,31.3
,Huye,24.1,25.2,22,16.1,25.8
,Nyamagabe,30.6,31.5,28.5,25.1,31.2
,Ruhango,65.5,65,66.5,51.1,67.3
,Muhanga,67,66.9,67.2,26.2,78.8
,Kamonyi,42.4,42,43.5,27.1,49.4
,Western Province,22.2,23.1,20,15.2,24.2
,Karongi,29,31,24.9,15.9,30.4
,Rutsiro,39.1,40.5,35.4,54.5,38.1
,Rubavu,6.8,7,6.2,6.4,7.3
,Nyabihu,17.2,17.8,15.9,14.1,18.2
,Ngororero,28.7,28.9,28.1,29.2,28.6
,Rusizi,21.9,23.1,18.8,24.6,20.6
,Nyamasheke,18.5,20.1,14.6,21.4,18.3
,Northern Province,39.1,39.7,37.6,25.1,42.1
,Rulindo,29.3,30.2,26.9,14,31.2
,Gakenke,56.1,57.1,53.6,48.3,56.5
,Musanze,35.8,36.2,34.8,25.9,45.2
,Burera,13.6,13.6,13.6,12.8,13.6
,Gicumbi,58,58.9,55.4,37,59.4
,Eastern Province,33.7,34.6,31.6,27.7,35.3
,Rwamagana,24.4,24.8,23.6,18.5,27.6
,Nyagatare,48.2,48.7,46.8,44,49.5
,Gatsibo,28.4,29.7,25.5,28.2,28.5
,Kayonza,40.7,41.4,39.1,25.7,43.3
,Kirehe,45.4,47.4,41,46.8,45.3
,Ngoma,28.2,29,26.4,33.3,27.7
,Bugesera,18.9,19.4,17.7,19.8,18.3
,"[1] The households using Gas, electricity, Kerosene, Biogaz and Solar power for cooking are excluded",,,,,
