0,1,2,3,4,5,6,7,8,9
"Table 37: Female Abridged Life Table, Rwanda 2022",,,,,,,,,
,Age,nMx,nqx, lx,ndx,nLx,5Px, Tx, ex
,0,0.0237,0.0232,100000,2321,97957,0.971851,7123535,71.2
,1,0.0028,0.0112,97679,1093,387969,0.992452,7025578,71.9
,5,0.0006,0.0028,96586,269,482258,0.997458,6637609,68.7
,10,0.0005,0.0023,96317,221,481032,0.99697,6155351,63.9
,15,0.0008,0.0038,96096,362,479575,0.995515,5674319,59
,20,0.001,0.0052,95734,499,477424,0.994247,5194744,54.3
,25,0.0013,0.0063,95235,600,474677,0.99301,4717320,49.5
,30,0.0015,0.0077,94635,727,471359,0.991141,4242644,44.8
,35,0.002,0.01,93908,943,467183,0.988022,3771285,40.2
,40,0.0028,0.0139,92965,1295,461587,0.982684,3304102,35.5
,45,0.0042,0.0207,91670,1902,453594,0.974225,2842515,31
,50,0.0063,0.0309,89768,2775,441903,0.961415,2388921,26.6
,55,0.0095,0.0465,86993,4046,424852,0.940515,1947018,22.4
,60,0.0152,0.0731,82948,6063,399580,0.904484,1522166,18.4
,65,0.0255,0.1197,76884,9203,361413,0.844212,1122587,14.6
,70,0.0437,0.1968,67681,13319,305110,0.751277,761173,11.2
,75,0.0743,0.3134,54363,17037,229222,0.618868,456064,8.4
,80,0.1262,0.4798,37326,17909,141858,0.455851,226842,6.1
,85,0.2005,0.6679,19417,12968,64666,0.284155,84984,4.4
,90,0.302,0.8603,6449,5549,18375,0.095593,20317,3.2
,95,0.4638,1,901,901,1942, ,1942,2.2
