0,1,2,3,4,5,6,7,8,9,10
"Table 39: Share of the children in the population by district, sex and residence",,,,,,,,,,
,Province/District,Total,,,Urban,,,Rural,,
,,,,,,,,,,
,,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
,Rwanda,44.5,45.9,43.2,40.5,40,41.1,46.1,48.3,44
,City of Kigali,37.9,36.8,39.1,37,35.7,38.2,44.2,43.4,45
,Nyarugenge,36.9,34.9,39.1,37,35.6,38.5,36.5,31.8,42.9
,Gasabo,39.5,38.7,40.3,37.8,36.5,39.1,46.9,48.2,45.7
,Kicukiro,35.8,34.8,36.8,35.7,34.7,36.8,45.2,45.1,45.3
,Southern Province,44.4,46.4,42.6,39.7,38.9,40.6,45.2,47.7,42.9
,Nyanza,45.2,46.8,43.6,42,43.4,40.7,45.5,47.2,43.9
,Gisagara,47.2,50.2,44.6,43.5,45.6,41.5,47.4,50.4,44.7
,Nyaruguru,47.4,49.7,45.3,44.4,46.2,42.7,47.5,49.8,45.4
,Huye,42.7,43.4,42,33.2,28.4,39.6,45.2,48.2,42.6
,Nyamagabe,43.7,46,41.6,41.8,44.3,39.5,43.9,46.2,41.8
,Ruhango,44.4,47.1,42,42,43.7,40.3,44.7,47.5,42.2
,Muhanga,41.3,42.7,40,37.5,35.5,39.6,42.6,45.2,40.1
,Kamonyi,43.7,45.4,42,42.5,43.1,41.9,44.2,46.5,42.1
,Western Province,46.8,49,44.8,45.9,47,44.8,47.1,49.6,44.8
,  Karongi,45.4,48,43.1,42.3,43.5,41.2,45.7,48.5,43.2
,  Rutsiro,46.1,48.3,44.1,45.1,47.4,43,46.2,48.4,44.2
,  Rubavu,47.5,48.2,46.8,46.5,47.7,45.5,48.6,48.8,48.3
,  Nyabihu,46.5,49.3,43.9,45.8,48.6,43.4,46.7,49.5,44.1
,  Ngororero,46.9,50.1,44.1,42.4,43.9,41,47.1,50.4,44.3
,  Rusizi,47.2,48.8,45.7,45.9,45.9,45.9,47.9,50.4,45.6
,  Nyamasheke,47.4,50.3,44.8,45.6,47.2,44.1,47.6,50.6,44.9
,Northern Province,43.6,45.5,41.9,41.9,42.8,41,44,46,42.1
,  Rulindo,43.4,45.4,41.5,44.8,45.7,43.9,43.2,45.4,41.3
,  Gakenke,42.6,45.1,40.4,38.2,38.6,37.9,42.8,45.4,40.5
,  Musanze,43.3,45,41.8,41.6,42.5,40.7,45,47.4,42.8
,  Burera,45.2,47.1,43.5,42.9,44,41.9,45.5,47.5,43.7
,  Gicumbi,43.5,44.9,42.1,41,42.1,40,43.6,45.1,42.2
,Eastern Province,46.5,47.9,45.1,43,42.2,43.8,47.4,49.5,45.5
,  Rwamagana,43.5,43.2,43.8,38.9,35.6,42.9,46.2,48.2,44.3
,  Nyagatare,47.7,49.2,46.2,46.4,47.1,45.8,48.1,49.9,46.4
,  Gatsibo,46.9,48.8,45.1,44.6,45.4,43.8,47.2,49.2,45.3
,  Kayonza,46.9,48.8,45.2,43.9,45.1,42.8,47.4,49.4,45.6
,  Kirehe,46.7,48.7,44.9,43.2,43.6,42.9,47,49,45
,  Ngoma,46.5,49.2,44.1,41.4,43.4,39.6,47.1,49.8,44.6
,  Bugesera,46.7,47.6,46,43.4,42.7,44.1,49,50.9,47.2
