0,1,2,3,4,5,6,7,8,9,10
Table 21: Percentage of the population who used internet by district according to age groups,,,,,,,,,,
,Province /District,Population 10 years and above,,,Population 16 years and above,,,Population 21 years and above,,
,,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
,Rwanda,13.7,16.6,11.2,16.2,19.9,12.9,16.9,21.3,13.1
,City of Kigali,40.4,44.6,36.2,44.9,49.5,40.1,47.1,51.5,42.5
,Nyarugenge,39.3,43.5,34.8,44.1,48.7,39.1,46,50.4,41.2
,Gasabo,36.4,40.7,32.1,40.8,45.6,35.9,43,47.7,38.1
,Kicukiro,48.2,52.2,44.2,52.5,56.8,48.1,55,58.8,50.9
,Southern Province ,9.1,10.7,7.6,10.6,12.9,8.7,10.8,13.6,8.4
,Nyanza,8.3,10,6.8,9.8,12.1,7.7,9.5,12.4,7.1
,Gisagara,6.1,7.7,4.7,7.2,9.5,5.3,7,9.7,4.9
,Nyaruguru,6.1,7.6,4.8,7.2,9.2,5.4,7.1,9.8,4.9
,Huye,12,14,10.3,14.1,16.9,11.8,14.5,18,11.8
,Nyamagabe,6.2,7.6,5,7.4,9.3,5.7,7.6,10,5.6
,Ruhango,7.4,8.7,6.3,8.7,10.5,7.2,8.5,10.7,6.7
,Muhanga,13,14.8,11.4,14.9,17.4,12.7,15.2,18.1,12.7
,Kamonyi,12.3,14.2,10.6,14.4,17,12.2,14.9,17.9,12.3
,Western Province ,9.1,11.7,6.9,11,14.5,8.1,11.3,15.5,8
,Karongi,7.9,9.8,6.3,9.5,12.2,7.3,9.7,13.1,7.1
,Rutsiro,5.3,7.3,3.6,6.4,9.2,4.2,6.6,9.9,4
,Rubavu,15.8,19.3,12.6,19,23.8,14.9,20.3,26,15.4
,Nyabihu,7,9.5,5,8.5,11.8,5.8,8.9,12.9,5.7
,Ngororero,5,6.7,3.6,6.1,8.5,4.2,6.3,9.1,4.1
,Rusizi,11.6,14.6,8.9,13.8,17.9,10.3,13.9,18.7,10
,Nyamasheke,8,10.3,6,9.6,12.8,6.9,9.5,13.2,6.6
,Northern Province ,9.4,11.8,7.3,10.9,14.1,8.2,11.3,15,8.2
,Rulindo,9.3,11.5,7.4,10.8,13.6,8.3,11,14.4,8.2
,Gakenke,6.3,8.1,4.7,7.1,9.5,5.1,7,9.7,4.7
,Musanze,15.5,18.9,12.6,18.1,22.6,14.4,19.2,24.4,14.9
,Burera,6.5,9,4.2,7.6,11,4.8,8,12,4.7
,Gicumbi,8.2,10.2,6.4,9.5,12.2,7.3,9.7,12.8,7
,Eastern Province ,10.1,12.6,7.9,12.2,15.5,9.3,12.4,16.2,9.1
,Rwamagana,14.3,16.7,12.1,16.8,20.1,13.9,17,20.8,13.7
,Nyagatare,9.1,11.9,6.6,11,14.6,7.8,11.1,15.2,7.5
,Gatsibo,8.2,10.5,6.2,9.9,12.9,7.3,9.9,13.3,7
,Kayonza,9.1,11.3,7,11,14,8.3,11.4,15,8.3
,Kirehe,8.3,11,5.9,10,13.6,6.8,10.1,14.3,6.6
,Ngoma,7.6,9.6,5.9,9.3,12.1,6.9,9.2,12.4,6.6
,Bugesera,14.2,16.7,11.8,16.9,20.3,13.7,17.5,21.6,13.9
