0,1,2,3,4,5,6,7,8,9,10
"Table 46: Youth by marital status, sex, age group and residence",,,,,,,,,,
,Marital status/Age goup,Total,,,Urban,,,Rural,,
,,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
,16-20 years,100,100,100,100,100,100,100,100,100
,Never married,95.1,98.4,91.8,95.9,99,93.2,94.8,98.3,91.3
,Married,4.7,1.5,7.8,3.9,1,6.6,5,1.7,8.3
,Widowed,0,0,0,0,0,0,0,0,0
,Separated,0.2,0,0.4,0.1,0,0.2,0.2,0,0.4
,21-30 years,100,100,100,100,100,100,100,100,100
,Never married,50.9,60.6,41.7,59.1,70.4,47.7,46.3,54.8,38.5
,Married,47.3,38.9,55.3,39.6,29.2,50,51.6,44.6,58.2
,Widowed,0.2,0,0.3,0.1,0,0.2,0.2,0,0.3
,Divorced,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1
,Separated,1.5,0.5,2.6,1.1,0.3,1.9,1.8,0.5,2.9
,All (16-30 years),100,100,100,100,100,100,100,100,100
,Never married,69.2,76.3,62.2,71.9,79.9,64.2,67.8,74.6,61.3
,Married,29.7,23.4,35.9,27.2,19.8,34.3,30.9,25.1,36.6
,Widowed,0.1,0,0.2,0.1,0,0.2,0.1,0,0.2
,Divorced,0,0,0.1,0,0,0.1,0,0,0
,Separated,1,0.3,1.7,0.8,0.2,1.3,1.1,0.3,1.8
