0,1,2,3,4,5,6
"Table 95: Evolution of key mortality indicators by projection scenario, 2022-2052",,,,,,
,Projection years,Life expectancy at birth (Male),Life expectancy at birth (Female),Life expectancy at birth (Both Sexes),"Infant Mortality Rate, IMR (%)","Under-Five Mortality Rate, U5MR (%)"
, High Scenario,,,,,
,2022,67.7,71.2,69.6,-,-
,2024,68,71.5,69.8,32.2,43.5
,2026,68.3,71.9,70.2,31.2,41.8
,2028,68.7,72.3,70.5,30.1,40
,2030,69.1,72.7,70.9,29,38.3
,2032,69.4,73,71.3,28,36.5
,2034,69.8,73.4,71.7,26.9,34.8
,2036,70.2,73.8,72,25.9,33.3
,2038,70.5,74.2,72.4,25,31.9
,2040,70.8,74.7,72.8,24.1,30.6
,2042,71.2,75.1,73.1,23.2,29.4
,2044,71.5,75.4,73.5,22.5,28.5
,2046,71.8,75.7,73.8,21.8,27.5
,2048,72.2,76.1,74.2,21.1,26.6
,2050,72.5,76.5,74.5,20.4,25.7
,2052,72.9,76.8,74.9,19.7,24.8
, Medium Scenario ,,,,,
,2022,67.7,71.2,69.6,-,-
,2024,68.2,71.7,70,31.7,42.6
,2026,68.8,72.3,70.6,30.1,39.9
,2028,69.3,72.9,71.1,28.4,37.2
,2030,69.9,73.5,71.7,26.8,34.5
,2032,70.4,74.1,72.3,25.3,32.3
,2034,71,74.7,72.9,23.9,30.3
,2036,71.5,75.3,73.4,22.6,28.6
,2038,72,75.8,73.9,21.5,27.2
,2040,72.6,76.3,74.5,20.5,25.8
,2042,73.1,76.9,75,19.4,24.3
,2044,73.7,77.5,75.6,18.3,22.9
,2046,74.3,78.1,76.2,17.2,21.5
,2048,74.9,78.7,76.8,16.1,20.1
,2050,75.4,79.3,77.4,15.2,19
,2052,75.9,80,78,14.4,18.1
, Low Scenario,,,,,
,2022,67.7,71.2,69.6,-,-
,2024,68.4,71.9,70.2,31.2,41.6
,2026,69.2,72.7,71,29,38
,2028,70,73.5,71.8,26.8,34.3
,2030,70.7,74.3,72.5,24.8,31.5
,2032,71.4,75.1,73.3,23,28.9
,2034,72.1,75.8,74,21.4,27
,2036,72.9,76.6,74.7,20,25.1
,2038,73.6,77.3,75.5,18.5,23.2
,2040,74.4,78.1,76.3,17,21.2
,2042,75.2,79,77.1,15.7,19.5
,2044,75.9,79.8,77.9,14.6,18.2
,2046,76.6,80.6,78.6,13.6,17.1
,2048,77.3,81.3,79.3,12.7,16
,2050,78.1,82,80.1,11.9,14.9
,2052,78.9,82.8,80.9,11,13.8
