0,1,2,3,4,5,6
"Table 60: Mean size of the private households by district, sex of the household head and residence",,,,,,
,Province/,Sex of Household-Head,,,Area of residence,
,District,Total,Male,Female,Urban,Rural
,Rwanda,4,4.3,3.2,3.7,4
,City of Kigali,3.5,3.7,3,3.5,3.8
,  Nyarugenge,3.5,3.6,3.1,3.4,3.7
,  Gasabo,3.5,3.7,2.9,3.4,3.9
,  Kicukiro,3.6,3.7,3.1,3.6,3.6
,Southern Province,3.9,4.3,3.1,3.8,3.9
,  Nyanza,3.9,4.2,3.2,3.7,3.9
,  Gisagara,3.9,4.3,3.2,3.9,3.9
,  Nyaruguru,4.3,4.7,3.3,3.9,4.3
,  Huye,3.8,4.2,3.1,3.7,3.8
,  Nyamagabe,4,4.3,3.2,4.3,4
,  Ruhango,3.8,4.1,3.1,3.7,3.8
,  Muhanga,3.8,4.1,3,3.8,3.8
,  Kamonyi,3.9,4.2,3.1,3.9,3.9
,Western Province,4.3,4.7,3.2,4.2,4.3
,  Karongi,4.1,4.5,3.2,3.7,4.1
,  Rutsiro,4.2,4.6,3.2,4.1,4.2
,  Rubavu,4.3,4.7,3.4,4.2,4.4
,  Nyabihu,4.2,4.6,3.2,4.2,4.2
,  Ngororero,4,4.4,3,3.9,4
,  Rusizi,4.6,5,3.4,4.5,4.6
,  Nyamasheke,4.5,5.1,3.3,4.5,4.6
,Northern Province,4,4.4,3,3.9,4
,  Rulindo,3.9,4.3,3,3.8,3.9
,  Gakenke,3.9,4.3,2.9,3.7,3.9
,  Musanze,3.9,4.3,2.9,3.9,4
,  Burera,4.2,4.6,3,4.2,4.2
,  Gicumbi,4.1,4.4,3,4,4.1
,Eastern Province,4,4.2,3.3,3.8,4
,  Rwamagana,3.8,4.1,3.3,3.8,3.8
,  Nyagatare,4.1,4.3,3.3,3.9,4.1
,  Gatsibo,4,4.3,3.3,3.8,4.1
,  Kayonza,4,4.3,3.4,3.8,4
,  Kirehe,4,4.3,3.5,3.8,4.1
,  Ngoma,3.9,4.2,3.2,3.8,3.9
,  Bugesera,3.9,4.2,3.3,3.8,4
