0,1,2,3,4,5,6,7,8,9,10
Table 14: Percentage of children aged 6-11 currently attending school by sex and residence,,,,,,,,,,
,Province/ District,Total,,,Urban,,,Rural,,
,,,,,,,,,,
,,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
,,,,,,,,,,
,Rwanda,89.4,88.4,90.3,91.7,91.1,92.2,88.6,87.5,89.7
,City of Kigali,91.5,90.9,92.1,92.4,92,92.9,86.8,85.4,88.2
,Nyarugenge,92.3,91.8,92.7,92.5,92.1,92.8,91.2,90.2,92.2
,Gasabo,90.5,89.8,91.1,91.9,91.6,92.3,85.6,84.1,87.2
,Kicukiro,93,92.4,93.7,93.1,92.5,93.8,86.7,86.2,87.2
,Southern Province,90,88.8,91.2,94.8,94.4,95.3,89.2,88,90.5
,Nyanza,89,87.5,90.6,93.7,92.8,94.6,88.6,87,90.2
,Gisagara,83.3,81.6,85.1,91.3,91.5,91.1,83,81.3,84.8
,Nyaruguru,88.1,86.9,89.3,93.5,92.2,94.8,88,86.8,89.2
,Huye,91.2,90.1,92.3,94.2,94,94.5,90.6,89.4,91.9
,Nyamagabe,88.7,87.4,90,96.5,96.1,96.9,87.8,86.3,89.2
,Ruhango,89.9,88.8,91.1,94.8,94.1,95.5,89.4,88.2,90.7
,Muhanga,96.1,95.4,96.7,97,96.7,97.4,95.8,95.1,96.5
,Kamonyi,94,93.2,94.7,94.2,93.7,94.7,93.9,93,94.7
,Western Province,87.9,87,88.8,87.8,87.2,88.4,87.9,86.9,88.9
,Karongi,92.4,91.4,93.4,96.4,96,96.8,92,91,93.1
,Rutsiro,87.7,86.6,88.9,91.2,90.1,92.3,87.5,86.4,88.7
,Rubavu,78.5,77.5,79.5,85,84.5,85.5,71.3,69.9,72.8
,Nyabihu,90.8,89.8,91.8,90.9,90,91.8,90.8,89.7,91.8
,Ngororero,91.6,91,92.2,98,98,98.1,91.3,90.7,92
,Rusizi,86.6,85.7,87.5,87,86.2,87.8,86.4,85.4,87.4
,Nyamasheke,92.1,91.3,92.9,93.9,93.8,94,91.9,91.1,92.8
,Northern Province,92.9,92.1,93.7,93.9,93.3,94.5,92.7,91.9,93.5
,Rulindo,94.8,94.2,95.3,95.7,95.2,96.3,94.7,94.1,95.2
,Gakenke,95.2,94.6,95.9,97,95.5,98.5,95.2,94.6,95.8
,Musanze,91.1,90.2,91.9,93.2,92.7,93.7,89.2,88.1,90.3
,Burera,92.8,91.9,93.6,94.7,93.5,95.9,92.6,91.7,93.4
,Gicumbi,91.5,90.5,92.4,94.4,94.3,94.5,91.3,90.3,92.3
,Eastern Province,87.4,86.2,88.5,91.2,90.3,92.1,86.5,85.3,87.7
,Rwamagana,89.9,88.7,91,93.6,93.2,94,88.1,86.6,89.6
,Nyagatare,86.2,85,87.4,88.7,87.3,90.1,85.4,84.3,86.6
,Gatsibo,87.2,86.1,88.3,91.8,90.7,92.9,86.7,85.6,87.8
,Kayonza,86.8,85.6,88.1,92.5,91.8,93.3,86,84.6,87.4
,Kirehe,90.1,89.3,90.9,91,90.3,91.7,90,89.2,90.8
,Ngoma,85.4,84.1,86.8,91.2,90,92.4,84.9,83.6,86.3
,Bugesera,86.6,85.3,87.8,90.8,90.1,91.6,84.1,82.6,85.6
