0,1,2,3,4,5,6,7,8,9
Table 84: Percentage of crop farming households producing different types of vegetables by district,,,,,,,,,
,,Amaranth,Tomato,Cabbage,Onion,Carrot,Eggplant,French bean,Pumpkin
,Rwanda,10.6,1.8,3,1.6,1.4,2.5,0.4,1
,City of Kigali,10.3,3.5,2.6,1.4,1.1,2.8,1.5,0.8
,Nyarugenge,11.4,4.1,2.4,1,1.1,2.4,0.9,0.6
,Gasabo,10.7,3.4,2.9,1.5,1.1,3.1,1.9,1
,Kicukiro,8.3,3.2,2,1.3,1.2,2.3,0.9,0.6
,Southern Province,12.3,2.8,4.5,2.1,2.4,3.7,0.6,1.1
,Nyanza,7.3,2.9,2.4,1.7,1.1,2.1,0.4,0.6
,Gisagara,12,3.2,3.4,1.5,0.9,3.3,1,1
,Nyaruguru,15,0.8,7,2.8,2.6,3.3,0.7,1.2
,Huye,13.2,2.5,3.9,1.4,2.4,4.5,0.9,0.8
,Nyamagabe,9.6,0.8,7.2,1.9,3.5,3.1,0.5,1.4
,Ruhango,11.8,2.4,2.3,1.4,1.5,2.2,0.3,0.8
,Muhanga,20,5.2,7.6,4,5.8,8.2,0.5,2
,Kamonyi,10.3,4.5,2.9,1.9,1.7,2.9,0.6,0.8
,Western Province,10.8,1.2,2.9,1.6,1.3,2.6,0.1,0.9
,Karongi,15.8,2.2,6.5,2.5,3.5,5.5,0.4,1.6
,Rutsiro,10.3,1.3,2.1,1.9,0.9,2.2,0.2,0.9
,Rubavu,3.8,0.8,2.6,2.3,1.4,1,0.1,0.2
,Nyabihu,3.5,0.1,1.3,0.7,1.4,0.1,0,0.5
,Ngororero,11.6,1.6,3.3,1.4,0.8,2.8,0,0.9
,Rusizi,11.2,0.8,1.8,1.3,0.4,2.3,0.1,1.2
,Nyamasheke,14.1,1.1,1.8,1.1,0.8,3,0.1,0.4
,Northern Province,14.3,1.7,4.1,2.2,1.4,2.7,0.5,1.6
,Rulindo,16.7,2.5,6.4,3.4,2.4,3.9,0.6,1.2
,Gakenke,23.6,3.3,7.1,3,1.3,5.3,0.3,2.9
,Musanze,6.3,1.3,1.5,1,1.1,1.1,0.2,1
,Burera,8.2,0.4,1.5,1.2,0.5,0.6,0.2,0.6
,Gicumbi,14.8,1,3.6,2.3,1.8,2.1,1.1,2.2
,Eastern Province,6.5,1.2,1,0.9,0.4,0.9,0.3,0.8
,Rwamagana,10.2,2.3,1.7,0.9,0.8,2.3,0.8,1.5
,Nyagatare,3.5,0.4,0.5,0.3,0.2,0.5,0.2,0.4
,Gatsibo,10.1,1.2,1,1.1,0.4,1,0.4,1.9
,Kayonza,3.2,0.7,0.7,0.5,0.4,0.6,0.2,0.3
,Kirehe,4.4,0.8,0.7,0.7,0.2,0.5,0.1,0.3
,Ngoma,8.8,1.2,1,1.2,0.4,0.8,0.2,0.7
,Bugesera,5.4,1.7,1.2,1.3,0.2,1.1,0.3,0.2
