0,1,2,3,4,5,6,7,8,9,10
Table 64: Distribution of the private housing units by tenure of household and District,,,,,,,,,,
,Province/District,Total,Owner,Tenant,Hire purchase,Free lodging,Staff housing,Temporary camp or settlement,Other,Not stated
,Rwanda,100,71.6,22.2,0.1,4.4,0.8,0.5,0.2,0
,City of Kigali,100,34.1,61.3,0.1,2.9,1.3,0,0.3,0
,Nyarugenge,100,31,64.4,0.1,3.2,1,0,0.3,0
,Gasabo,100,37,58.5,0.1,2.8,1.3,0,0.3,0
,Kicukiro,100,31,64.1,0.1,2.9,1.6,0,0.3,0
,Southern Province,100,77.6,14.5,0.1,6.3,0.8,0.4,0.3,0
,Nyanza,100,74.6,17,0.1,6.4,1.3,0,0.6,0 
,Gisagara,100,81.4,10,0.1,5.9,0.8,1.6,0.4,0
,Nyaruguru,100,86.7,6.5,0.1,6,0.5,0,0.2,0
,Huye,100,73.4,17.5,0.1,7.8,0.8,0,0.4,0
,Nyamagabe,100,83.8,7.6,0.1,6.4,0.5,1.4,0.2,0
,Ruhango,100,75,16.2,0.1,7.4,0.9,0,0.4,0
,Muhanga,100,77,17.1,0.1,5,0.5, 0,0.3,0
,Kamonyi,100,71.7,21.4,0.1,5.7,0.9,0,0.2,0
,Western Province ,100,80.5,13.5,0.1,4.9,0.4,0.4,0.2,0
,Karongi,100,80.8,10.7,0.1,5,0.5,2.7,0.3,0
,Rutsiro,100,85.8,9.4,0.1,4.3,0.2,0,0.2,0
,Rubavu,100,67.2,27.3,0.1,4.6,0.6,0,0.2,0
,Nyabihu,100,79.1,11.8,0.2,8.4,0.4,0,0.1,0
,Ngororero,100,86.9,5.9,0.1,6.5,0.4,0,0.2,0
,Rusizi,100,79.6,16.6,0.1,3.2,0.4,0,0.1,0
,Nyamasheke,100,88.4,7.6,0.1,3.4,0.3, 0,0.1,0
,Northern Province,100,86.6,9.5,0.1,3.3,0.4,0,0.1,0
,Rulindo,100,85.9,9.7,0.1,3.5,0.6,0,0.2,0
,Gakenke,100,91.7,4.8,0.1,2.9,0.3,0 ,0.1,0 
,Musanze,100,77.1,18.7,0.1,3.6,0.3,0 ,0.1,0
,Burera,100,90.4,5.4,0.1,3.7,0.3,0,0.1,0
,Gicumbi,100,89.9,6.7,0.1,2.8,0.4,0 ,0.1,0
,Eastern Province,100,72.1,21.1,0.1,3.8,1.2,1.4,0.3,0
,Rwamagana,100,67.8,26.1,0.1,4.3,1.4,0,0.3,0
,Nyagatare,100,68.4,26,0.1,3.4,1.8,0,0.3,0
,Gatsibo,100,79.1,15.2,0.1,3.4,1,1,0.2,0
,Kayonza,100,71.6,23.1,0.1,3.4,1.6,0,0.2,0
,Kirehe,100,74,12.6,0.1,2.8,0.5,9.8,0.2, 0
,Ngoma,100,81.6,14.3,0.1,3.1,0.6,0 ,0.3, 0
,Bugesera,100,65,27.5,0.1,5.7,1.5,0,0.3,0
