0,1,2,3,4,5,6,7,8,9,10
Table 56: Prevalence of medical insurance among the population with/without disability by district,,,,,,,,,,
,,All,,,Has disability,,,Does not have disability,,
,District,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
,Rwanda,97.4,97.1,97.6,96.8,96.4,97.1,97.4,97.2,97.6
,City of Kigali,96.1,95.7,96.6,95.6,94.9,96.2,96.2,95.7,96.6
,Nyarugenge,95.7,95.3,96.1,95.3,94.8,95.8,95.7,95.3,96.1
,Gasabo,96.4,96,96.8,95.9,95.1,96.5,96.5,96.1,96.9
,Kicukiro,95.9,95.5,96.4,95.4,94.4,96.1,95.9,95.5,96.4
,Southern Province,97,96.7,97.3,96.3,95.7,96.7,97.1,96.8,97.3
,Nyanza,93.6,93.2,94.1,92.6,91.4,93.5,93.7,93.2,94.1
,Gisagara,97.3,96.9,97.6,96.7,95.9,97.4,97.3,97,97.6
,Nyaruguru,98.5,98.3,98.6,98.2,97.8,98.6,98.5,98.4,98.6
,Huye,96.2,96,96.4,95.4,94.8,96,96.2,96,96.4
,Nyamagabe,98.3,98.2,98.5,97.7,97.3,97.9,98.4,98.2,98.5
,Ruhango,96.4,96,96.8,95.6,95.2,95.9,96.5,96.1,96.8
,Muhanga,98.2,98,98.3,97.8,97.5,98,98.2,98,98.3
,Kamonyi,97.8,97.5,98.1,97.2,96.8,97.5,97.8,97.5,98.1
,Western Province,97.8,97.8,97.9,97.5,97.3,97.6,97.9,97.8,97.9
,Karongi,97.8,97.7,97.9,97.6,97.4,97.7,97.8,97.8,97.9
,Rutsiro,97.8,97.8,97.8,97.1,97.2,97,97.8,97.8,97.9
,Rubavu,95.7,95.7,95.7,95.3,95.2,95.3,95.7,95.7,95.7
,Nyabihu,98.6,98.6,98.6,98.1,97.9,98.2,98.6,98.6,98.6
,Ngororero,98.7,98.7,98.7,98.4,98.3,98.6,98.7,98.7,98.8
,Rusizi,98.2,98.1,98.3,97.6,97.5,97.8,98.2,98.2,98.3
,Nyamasheke,98.9,98.8,98.9,98.6,98.3,98.8,98.9,98.8,98.9
,Northern Province,99,98.9,99.1,98.7,98.4,98.8,99,98.9,99.1
,Rulindo,98.7,98.6,98.8,98.5,98.3,98.6,98.7,98.6,98.8
,Gakenke,99.7,99.7,99.8,99.5,99.3,99.7,99.7,99.7,99.8
,Musanze,98.3,98.3,98.4,97.7,97.4,98,98.4,98.3,98.4
,Burera,99.1,99.1,99.1,98.9,98.7,99.1,99.1,99.1,99.1
,Gicumbi,99.2,99.1,99.3,98.8,98.5,99,99.2,99.1,99.3
,Eastern Province,96.9,96.7,97.2,96.1,95.6,96.4,96.9,96.7,97.2
,Rwamagana,97.6,97.4,97.8,97,96.8,97.2,97.6,97.4,97.8
,Nyagatare,96.3,96.1,96.6,95.6,95.3,95.9,96.4,96.1,96.6
,Gatsibo,96.8,96.6,97,95.4,95.1,95.8,96.9,96.7,97
,Kayonza,97,96.6,97.3,96.1,95.8,96.4,97,96.7,97.3
,Kirehe,98.4,98.2,98.6,98.1,97.8,98.4,98.4,98.2,98.6
,Ngoma,96.3,96,96.6,95.2,94.3,95.9,96.4,96.1,96.6
,Bugesera,96.2,95.9,96.6,95.4,94.8,95.8,96.3,95.9,96.6
