0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Table 69: Distribution of the private households by main source of drinking water by district,,,,,,,,,,,,,,
,Province/District,Total,Mineral water,Internal pipe - born water,Pipe - born water in compound,Pipe - born water from neighbor,Public tap out of compound,Tube Well/Borehole,Protected Spring/Well,Rain water,Unprotected Spring/Well,Tanker Truck,River/Lake/Pond/Stream/Surface water,Other
,Rwanda,100,2.5,0.6,11.5,3.6,32.5,3.1,27.6,1,11.3,0,6.3,0.1
,City of Kigali,100,11,2.1,33.8,10.6,26.5,0.9,12.1,0.2,1.9,0.1,0.8,0
,Nyarugenge,100,8.4,1.6,37.8,8.9,37,1,4.2,0.1,0.7,0,0.4,0
,Gasabo,100,8.8,2.1,30.5,8.9,25,0.5,19.6,0.4,3.2,0,1,0
,Kicukiro,100,16.9,2.6,36.9,15.1,21.4,1.7,4.4,0.1,0.3,0.1,0.6,0
,Southern Province,100,0.9,0.2,7.5,1.9,18.5,2.5,46.7,0.2,16.2,0,5.3,0.1
,Nyanza,100,0.7,0.1,5.6,1.8,15.4,1.8,53.2,0.2,14.2,0,6.9,0.1
,Gisagara,100,0.1,0.1,3.6,1.4,19.1,0.1,53.9,0.1,19.8,0,1.8,0
,Nyaruguru,100,0.1,0.2,3.3,0.8,27.3,0.1,40.1,0.3,22.8,0.1,4.9,0.1
,Huye,100,1.4,0.4,12.5,1.8,27.6,0.1,44.6,0.1,9.9,0,1.5,0
,Nyamagabe,100,0.3,0.2,5.8,2,14.7,0.1,35.5,0.4,31.1,0.1,9.9,0.1
,Ruhango,100,0.4,0.2,6.6,2.2,13.2,13.9,39.5,0.3,14.9,0,8.6,0.1
,Muhanga,100,2.1,0.3,12.6,2,11,0.4,56.2,0.2,11.4,0,3.8,0.1
,Kamonyi,100,1.7,0.4,8.8,2.6,20.8,2.9,48.1,0.2,9.1,0,5.3,0.1
,Western Province,100,0.5,0.8,9.2,2.6,31.9,0.7,27.3,2.5,19.4,0,5.1,0.1
,Karongi,100,0.4,0.6,8,3.3,23.5,0.2,27.4,0.4,24.6,0.1,11.5,0.1
,Rutsiro,100,0.2,1.4,3.2,1.9,21.2,0.1,33,0.2,31.3,0.1,7.5,0
,Rubavu,100,1.6,0.7,18,1.9,58.5,0.1,7.3,5.4,5.1,0,1.3,0.1
,Nyabihu,100,0.1,0.2,2.8,1.2,30.1,0.1,31.9,11.5,17.1,0,4.8,0.1
,Ngororero,100,0.1,0.2,3,1.1,20.1,0.1,43.7,0.4,25.4,0,5.9,0.1
,Rusizi,100,0.6,0.8,15.8,5.7,33.3,3.4,22,0.3,15.5,0,2.3,0.1
,Nyamasheke,100,0.1,1.3,8.2,2.9,26.3,0.3,34,0.3,22.3,0,4.2,0.1
,Northern Province,100,0.5,0.3,8,1.6,41.8,0.1,31.7,0.9,11.6,0,3.4,0.1
,Rulindo,100,0.5,0.2,6,1.7,38.2,0.1,39,0.4,11.5,0,2.4,0
,Gakenke,100,0,0.2,3.6,1,28.9,0.1,42.2,0.4,20.8,0,2.7,0.1
,Musanze,100,1.3,0.6,19.3,2.2,52.2,0.3,14,0.9,4.8,0,4.3,0.1
,Burera,100,0,0.2,3.2,1.6,44.3,0.1,29.2,2.2,13.5,0,5.5,0.2
,Gicumbi,100,0.4,0.1,5.3,1.5,42.3,0.1,38,0.5,9.5,0,2.1,0.1
,Eastern Province,100,1.8,0.2,6.4,3,42.8,8.2,17.9,0.9,6,0,12.6,0.2
,Rwamagana,100,2.2,0.2,13.4,5.2,36,1.3,32,0.2,3.6,0,5.8,0.1
,Nyagatare,100,1.7,0.3,4.7,2.1,37.7,20.7,7,3.7,6,0.1,15.3,0.7
,Gatsibo,100,1,0.1,2.4,0.8,40.7,8.3,24.7,0.4,8.7,0,12.8,0.2
,Kayonza,100,1.6,0.2,6.2,3.8,48.5,8.8,14.9,0.5,5.2,0,10.2,0.1
,Kirehe,100,0.5,0.2,3.5,1.8,57.1,3.8,13.7,0.1,10.1,0,9,0.1
,Ngoma,100,0.7,0.2,5.9,2.1,48.1,4.3,22.1,0.1,5,0,11.4,0.1
,Bugesera,100,4.4,0.3,9,5,36,5.7,14.1,0.4,3.6,0.1,21.2,0.1
