0,1,2,3,4,5,6,7,8,9,10
Table 15: Percentage of children aged 13-18 years currently attending school by sex and residence,,,,,,,,,,
,Province/ District,Total,,,Urban,,,Rural,,
,,,,,,,,,,
,,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
,Rwanda,65.4,63.2,67.5,70.5,72,69.1,63.7,60.6,66.9
,City of Kigali,69.2,71.5,67.3,70.3,74.1,67.2,63.2,58.6,68
,Nyarugenge,71.5,74,69.2,72.1,75.6,69,68.1,65.2,71.1
,Gasabo,67.6,69,66.3,69.2,73.2,66,62,56.8,67.5
,Kicukiro,70.5,74,67.5,70.6,74.2,67.6,58.3,58.4,58.2
,Southern Province,66.8,63,70.7,72.2,73.1,71.3,66,61.6,70.6
,Nyanza,66,61.1,71.2,72.9,72.3,73.5,65.3,60.1,70.9
,Gisagara,59.5,57,62.1,66.1,64.7,67.7,59.3,56.7,62
,Nyaruguru,68.5,64.4,72.9,78.9,75.5,82.7,68.2,64.1,72.6
,Huye,67.8,64.5,71.2,72,76.6,68.2,67,62.6,71.8
,Nyamagabe,68.9,65.7,72.2,76.8,76.6,76.9,68,64.5,71.7
,Ruhango,67.5,63.8,71.4,75.9,76.2,75.6,66.6,62.6,70.9
,Muhanga,68,63.9,72.2,71.5,75.5,68.3,67.1,61.1,73.4
,Kamonyi,68.8,64.4,73.2,70.2,69.5,70.8,68.2,62.4,74.2
,Western Province,65.3,63.3,67.3,71.4,71.7,71,63.7,61.1,66.2
,Karongi,70.4,67.3,73.7,75.7,76.2,75.3,69.9,66.6,73.5
,Rutsiro,61,58.6,63.3,73.1,71.4,74.8,60.3,57.9,62.6
,Rubavu,60.7,61.2,60.1,69.9,71.6,68.3,50.6,50.3,50.9
,Nyabihu,64.6,61.6,67.7,71.9,69.6,74.2,62.3,59.1,65.6
,Ngororero,58.5,55.7,61.3,75.7,74.9,76.5,57.7,54.7,60.5
,Rusizi,69.9,68.2,71.7,70.8,70.9,70.7,69.4,66.7,72.2
,Nyamasheke,72.4,69.6,75.1,77.4,76.4,78.4,71.9,69.1,74.8
,Northern Province,63.4,60.3,66.5,69.7,69.4,70,62.2,58.7,65.8
,Rulindo,64.2,60.4,68,68.5,70.5,66.7,63.7,59.3,68.1
,Gakenke,62.5,59,65.9,72.3,68.9,75.2,62.1,58.7,65.6
,Musanze,62.4,60.8,64,69,68.9,69.2,56.7,54.1,59.3
,Burera,64.3,61.7,66.8,72.3,71.1,73.6,63.4,60.7,66
,Gicumbi,64,59.8,68.2,72,70.3,73.5,63.5,59.2,67.9
,Eastern Province,63.9,62.1,65.6,69.4,69.6,69.3,62.6,60.5,64.8
,Rwamagana,65.4,61.6,69.2,69.9,69.3,70.5,63.3,58.1,68.6
,Nyagatare,62.6,61.8,63.5,68.3,68.1,68.5,61,60,62.1
,Gatsibo,64,61.6,66.5,71.1,70.6,71.7,63.3,60.7,65.9
,Kayonza,62.8,60.7,64.9,69,70,68,61.8,59.4,64.4
,Kirehe,66.9,66,67.8,69,69.4,68.7,66.7,65.8,67.7
,Ngoma,59.2,57.8,60.6,70.7,70.5,71,58.1,56.7,59.5
,Bugesera,65.9,64.6,67.1,69.4,70.4,68.4,63.8,61.5,66.2
