0,1,2,3,4,5,6
"Table 94: Changes in key fertility indicators by projection scenario, 2022-2052",,,,,,
,Projection year,Number of births,General Fertility Rate (GFR),% of Females aged 15-49,TFR,Net Reproduction Rate (NRR)
, High Scenario,,,,,
,2022,367309,106.9,50.5,3.6,1.8
,2024,379435,104.5,51.3,3.6,1.6
,2026,394914,103.4,51.7,3.5,1.6
,2028,410271,102.5,52,3.5,1.6
,2030,425158,101.7,52,3.4,1.6
,2032,439455,101.1,51.9,3.4,1.6
,2034,452903,100.6,51.6,3.3,1.5
,2036,464952,100,51.2,3.3,1.5
,2038,475183,99.1,50.8,3.2,1.5
,2040,484192,97.7,50.5,3.2,1.5
,2042,490472,95.6,50.3,3.1,1.5
,2044,495296,93.2,50.2,3.1,1.5
,2046,499214,90.6,50.3,3,1.4
,2048,503089,88.2,50.3,3,1.4
,2050,507752,86,50.4,3,1.4
,2052,513172,84.3,50.3,2.9,1.4
, Medium Scenario,,,,,
,2022,367309,106.9,50.5,3.6,1.8
,2024,377311,103.9,51.3,3.5,1.6
,2026,390457,102.2,51.7,3.5,1.6
,2028,403265,100.7,52,3.4,1.6
,2030,415388,99.3,52.1,3.3,1.5
,2032,426708,98.1,52.1,3.3,1.5
,2034,436976,96.9,51.8,3.2,1.5
,2036,445667,95.7,51.5,3.1,1.5
,2038,452366,94.1,51.1,3.1,1.4
,2040,457604,92.2,50.9,3,1.4
,2042,459977,89.6,50.8,2.9,1.4
,2044,460660,86.6,50.8,2.9,1.4
,2046,460114,83.6,50.8,2.8,1.3
,2048,459130,80.7,50.9,2.7,1.3
,2050,458391,78,51,2.7,1.3
,2052,457816,75.7,50.9,2.6,1.2
, Low Scenario,,,,,
,2022,367309,106.9,50.5,3.6,1.8
,2024,375187,103.3,51.3,3.5,1.6
,2026,385999,101,51.8,3.4,1.6
,2028,396256,99,52.1,3.3,1.6
,2030,405608,97,52.2,3.3,1.5
,2032,413940,95.1,52.2,3.2,1.5
,2034,420985,93.3,52,3.1,1.5
,2036,426233,91.4,51.7,3,1.4
,2038,429327,89.2,51.5,2.9,1.4
,2040,430749,86.6,51.3,2.8,1.3
,2042,429199,83.5,51.2,2.7,1.3
,2044,425751,80.1,51.3,2.7,1.3
,2046,420779,76.5,51.4,2.6,1.2
,2048,414999,73.1,51.5,2.5,1.2
,2050,408972,69.9,51.6,2.4,1.1
,2052,402598,67.1,51.5,2.3,1.1
