0,1,2,3,4,5,6,7
Table 26: Percentage of single/never married population aged 12 and above by age groups and sex,,,,,,,
,Age group,2012,,,2022,,
,,Both sexes,Male,Female,Both sexes,Male,Female
,Rwanda,45.5,50.4,41,44.4,48.8,40.4
, 12-14,99.4,99.5,99.3,99.8,99.9,99.8
,15-19,97.4,98.9,95.9,97.7,99.4,96
,20-24,71.7,81.9,62.1,73.5,84.3,63.3
,25-29,35.8,44.4,27.5,40,49,31.3
,30-34,16.9,20.2,13.8,19.9,23.4,16.5
,35-39,9.8,10.6,9.1,10.5,11.2,9.8
,40-44,7,7.1,7,7.5,7.3,7.6
,45-49,5,5.1,5,6.1,5.3,6.7
,50-54,3.6,3.9,3.4,5.2,4.3,5.9
,55-59,2.7,3,2.5,4,3.5,4.4
,60-64,2.3,2.7,1.9,3,2.9,3.1
,65-69,2,2.7,1.6,2.1,2,2.2
,70-74,2,2.7,1.6,1.8,1.9,1.7
,75-79,1.9,2.2,1.7,1.4,1.5,1.3
,80-84,2.3,2.9,1.8,1.3,1.4,1.2
,85+,3.5,4.5,2.8,1.4,1.5,1.4
