0,1,2,3,4,5,6,7
Table 11: Population aged 7-18 years by school attendance status,,,,,,,
, Areas of residence,Sex,Count,Total,No longer attending,Currently attending,Never attended
,Rwanda,Both sexes,3762315,100,16.9,78.5,4.6
,,Male,1879573,100,17.8,76.9,5.3
,,Female,1882742,100,16,80,4
,Urban,Both sexes,917811,100,14.5,82,3.5
,,Male,446373,100,13.4,82.8,3.8
,,Female,471438,100,15.5,81.3,3.2
,Rural,Both sexes,2844504,100,17.7,77.3,5
,,Male,1433200,100,19.2,75,5.7
,,Female,1411304,100,16.1,79.6,4.3
