0,1,2,3,4,5,6,7
" Table 10: Population aged 3 year and above by highest level of educational attended, sex and residence",,,,,,,
,Level of education attended,Counts,,,Percentages,,
,,Both sexes,Male,Female,Both sexes,Male,Female
,Rwanda,12245590,5927311,6318279,100,100,100
,  Never attended School,2004330,880393,1123937,16.4,14.9,17.8
,  Pre-nursery/ECD,245899,120357,125542,2,2,2
,  Nursery,318532,155968,162564,2.6,2.6,2.6
,  Primary,7139525,3543088,3596437,58.3,59.8,56.9
,  INGOBOKA/Vocational,96357,51720,44637,0.8,0.9,0.7
,  Lower secondary,1154349,520274,634075,9.4,8.8,10
,  Upper secondary,850334,408754,441580,6.9,6.9,7
,  University,434476,245384,189092,3.5,4.1,3
,  Not Stated,1788,1373,415,0,0,0
,Urban,3416641,1711845,1704796,100,100,100
,  Never attended School,389149,182717,206432,11.4,10.7,12.1
,  Pre-nursery/ECD,26809,13095,13714,0.8,0.8,0.8
,  Nursery,123582,61556,62026,3.6,3.6,3.6
,  Primary,1655811,836815,818996,48.5,48.9,48
,  INGOBOKA/Vocational,33058,18483,14575,1,1.1,0.9
,  Lower secondary,417709,198759,218950,12.2,11.6,12.8
,  Upper secondary,444340,219581,224759,13,12.8,13.2
,  University,325044,179938,145106,9.5,10.5,8.5
,  Not Stated,1139,901,238,0,0.1,0
,Rural,8828949,4215466,4613483,100,100,100
,  Never attended School,1615181,697676,917505,18.3,16.6,19.9
,  Pre-nursery/ECD,219090,107262,111828,2.5,2.5,2.4
,  Nursery,194950,94412,100538,2.2,2.2,2.2
,  Primary,5483714,2706273,2777441,62.1,64.2,60.2
,  INGOBOKA/Vocational,63299,33237,30062,0.7,0.8,0.7
,  Lower secondary,736640,321515,415125,8.3,7.6,9
,  Upper secondary,405994,189173,216821,4.6,4.5,4.7
,  University,109432,65446,43986,1.2,1.6,1
,  Not Stated,649,472,177,0,0,0
