0,1,2,3,4,5,6
"Table 61: Mean number of persons by bedroom by sex of the household head, district and residence",,,,,,
,Province/District,Sex of Household-Head,,,Area of residence,
,,Total,Male Head,Female Head,Urban,Rural
,Rwanda,2,2.1,1.8,2,2
,City of Kigali,2,2,1.9,2,2
,Nyarugenge,2.1,2.1,2,2.1,2.1
,Gasabo,2,2,1.9,2,2
,Kicukiro,1.9,1.9,1.9,1.9,2
,Southern Province,2,2.1,1.8,1.9,2
,Nyanza,2.2,2.3,1.9,1.9,2.2
,Gisagara,2.1,2.2,1.8,2,2.1
,Nyaruguru,2.1,2.2,1.7,2,2.1
,Huye,2,2.1,1.7,1.8,2
,Nyamagabe,2.1,2.2,1.8,2.1,2.1
,Ruhango,2,2.2,1.8,1.8,2.1
,Muhanga,1.8,1.9,1.6,1.8,1.8
,Kamonyi,2,2.1,1.8,1.9,2
,Western Province,2,2.1,1.7,2,2
,Karongi,2,2.1,1.8,1.8,2
,Rutsiro,2,2.1,1.7,1.8,2
,Rubavu,2,2.2,1.7,2,2.1
,Nyabihu,2,2.1,1.6,1.9,2
,Ngororero,2,2.2,1.7,1.8,2
,Rusizi,2,2.1,1.7,2.1,2
,Nyamasheke,2,2.1,1.6,1.8,2
,Northern Province,1.9,2,1.5,1.8,1.9
,Rulindo,1.9,2,1.6,1.9,1.9
,Gakenke,1.9,2,1.5,1.7,1.9
,Musanze,1.8,2,1.5,1.8,1.9
,Burera,2,2.1,1.5,1.8,2
,Gicumbi,1.9,2.1,1.6,1.8,2
,Eastern Province,2.1,2.2,1.9,2,2.1
,Rwamagana,2,2.1,1.8,1.9,2
,Nyagatare,2.2,2.3,1.9,2.1,2.2
,Gatsibo,2.1,2.2,1.8,1.9,2.1
,Kayonza,2.1,2.2,1.9,2,2.2
,Kirehe,2.1,2.2,1.9,1.9,2.1
,Ngoma,2,2.1,1.8,1.9,2
,Bugesera,2.1,2.2,1.9,1.9,2.2
