0,1,2,3,4,5,6,7,8,9,10
"Table 50: Share of the elderly in the population by sex and by district, sex and residence",,,,,,,,,,
,Province/District,Total,,,Urban,,,Rural,,
,,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
,Rwanda,6.5,5.5,7.4,4.2,3.6,4.7,7.4,6.3,8.4
,City of Kigali,3.1,2.7,3.6,2.7,2.4,3.1,5.8,4.8,6.7
,Nyarugenge,3.3,3,3.8,3,2.6,3.4,5.3,4.7,6.1
,Gasabo,3.2,2.7,3.7,2.5,2.2,2.9,5.9,4.8,6.9
,Kicukiro,2.9,2.5,3.3,2.9,2.5,3.3,6.8,6.5,7
,Southern Province,8.1,6.9,9.3,6.1,5.7,6.6,8.5,7.1,9.7
,Nyanza,8.2,7.3,9.1,6,4.5,7.3,8.5,7.6,9.3
,Gisagara,7.6,5.9,9.1,7.5,5.5,9.3,7.6,5.9,9.1
,Nyaruguru,8.2,7,9.3,6.3,5.5,7.1,8.3,7,9.4
,Huye,8.5,7.4,9.7,8.1,9.6,6.1,8.6,6.7,10.4
,Nyamagabe,8.4,7.2,9.5,7.5,6,8.8,8.5,7.4,9.6
,Ruhango,8.4,6.9,9.8,6.5,5.3,7.6,8.7,7.1,10.1
,Muhanga,8.5,7.4,9.4,5,4.5,5.4,9.6,8.4,10.6
,Kamonyi,7.3,6.1,8.4,5.1,4.1,6,8.3,7.1,9.5
,Western Province,6.9,5.9,7.8,5,4.2,5.7,7.4,6.3,8.4
,Karongi,7.9,6.6,9.1,4.6,3.6,5.6,8.3,7,9.4
,Rutsiro,6.9,5.9,7.9,6.8,5.9,7.5,6.9,5.9,7.9
,Rubavu,4.8,4.1,5.5,4.1,3.4,4.9,5.6,4.9,6.3
,Nyabihu,6.3,4.9,7.5,5.6,4.4,6.6,6.5,5.1,7.7
,Ngororero,7.2,6,8.3,5.1,4.1,6.1,7.3,6.1,8.4
,Rusizi,7.4,6.6,8.1,5.7,5.4,6.1,8.2,7.3,9.1
,Nyamasheke,8.1,7.2,9,6.1,5.2,6.9,8.3,7.4,9.1
,Northern Province,7.3,6.2,8.3,5,4,5.9,7.8,6.7,8.8
,Rulindo,7.6,6.6,8.5,4,3.3,4.6,8,6.9,8.9
,Gakenke,8.5,7.6,9.4,6.2,5.6,6.8,8.6,7.7,9.5
,Musanze,6.1,4.8,7.3,4.8,3.7,5.7,7.4,5.8,8.7
,Burera,7.1,5.7,8.3,6.6,5.3,7.7,7.1,5.7,8.4
,Gicumbi,7.6,6.7,8.5,5,4.2,5.8,7.8,6.8,8.7
,Eastern Province,6.1,5.3,6.8,4.8,4.3,5.3,6.4,5.5,7.2
,Rwamagana,5.8,5,6.7,4.6,4.5,4.8,6.6,5.3,7.7
,Nyagatare,5.6,5.1,6.1,4.7,4.1,5.3,5.9,5.4,6.3
,Gatsibo,6.5,5.5,7.3,4.9,4,5.7,6.6,5.7,7.5
,Kayonza,6.1,5.3,6.8,4.6,3.6,5.5,6.3,5.6,7
,Kirehe,6.4,5.6,7.1,5.5,4.8,6.1,6.4,5.7,7.1
,Ngoma,7,6,7.9,6.2,5.3,7,7.1,6.1,7.9
,Bugesera,5.6,4.8,6.3,4.8,4.4,5.1,6.1,5,7.2
