0,1,2,3,4,5,6,7,8,9,10
Table 71: Percentage of private households that use unshared improved toilet facility by District,,,,,,,,,,
,Province/,Rwanda,,,Male Headed HHs,,,Female Headed HHs,,
,,Total,Urban,Rural,Total,Urban,Rural,Total,Urban,Rural
,Rwanda,72.1,56.4,78.5,73.6,57.5,80.5,68.3,53.2,73.8
,City of Kigali,48.5,44.8,76.8,49.8,46.3,77.5,44.5,40.1,74.8
,Nyarugenge,39.8,35.8,69.6,40.6,36.7,70,37.4,33.2,68.4
,Gasabo,51.3,45.6,78.6,52.5,47.1,79.4,47.4,40.3,76.5
,Kicukiro,50.2,49.9,84.5,51.7,51.4,85.9,45.3,44.9,80.1
,Southern Province,75.5,66.1,77.1,78,68.5,79.6,70.2,60.4,71.7
,Nyanza,72,69.9,72.3,74.1,71.6,74.4,68.1,66.7,68.2
,Gisagara,71.2,66.2,71.4,74.9,68.9,75.1,64.3,61.6,64.4
,Nyaruguru,81.2,66,81.6,83.3,69,83.6,76.5,59.8,76.9
,Huye,73.3,59.9,76.2,75.3,62.1,78.4,69.6,55,72.4
,Nyamagabe,75.9,59.8,77.7,79.8,69.2,80.8,67.1,44.7,70.2
,Ruhango,72.9,71.2,73.1,75.2,72.9,75.5,68.2,67.5,68.3
,Muhanga,82.3,64.1,87.6,83.9,66.1,89.2,78.5,59,83.9
,Kamonyi,76.5,69.3,79.8,78.1,70.6,81.7,72.4,65.4,75.2
,Western Province,74.7,63.4,77.9,76.8,65,80.2,69.7,59.4,72.6
,Karongi,78.2,66.2,79.4,81,68.3,82.3,72.1,61.4,73.2
,Rutsiro,77.2,79.6,77.1,79.8,81.6,79.6,71,74.7,70.8
,Rubavu,58.3,55.2,62.1,60,56.7,64.3,53.8,51.5,56.6
,Nyabihu,73.3,68.5,74.8,75,69.5,76.6,69.5,66.5,70.6
,Ngororero,79.5,79.7,79.5,82.2,82.1,82.2,73.7,73.8,73.7
,Rusizi,77.4,68,82.1,79.3,69.9,84,72.3,62.7,77
,Nyamasheke,84.1,81.2,84.4,86,83.4,86.2,79.6,74.9,79.9
,Northern Province,79.7,66.8,82.4,81.3,68.4,84,75.2,62.3,78
,Rulindo,84.4,77.3,85.2,85.7,78.7,86.6,80.7,72.9,81.5
,Gakenke,86.8,81.1,87.1,88.4,82.9,88.6,82.8,75.5,83.1
,Musanze,66.1,61.4,70.6,67.7,62.7,72.3,61.9,57.9,66
,Burera,82,76.2,82.7,83.6,78.3,84.2,77.4,70.2,78.3
,Gicumbi,82.4,76.3,82.8,84.3,78.4,84.7,77,71,77.4
,Eastern Province,75.8,66.9,78.1,77.1,67.7,79.6,72.5,64.9,74.5
,Rwamagana,75.7,68.1,79.7,76.5,68.6,80.8,74,67,77.4
,Nyagatare,74.9,66.3,77.8,76,67.5,78.9,72,63.4,75
,Gatsibo,78,68,79.2,79.9,68.8,81.2,73.4,66.2,74.2
,Kayonza,75.1,59.1,78,75.9,59.4,78.9,73.3,58.1,75.9
,Kirehe,74.7,71.5,75,77.7,72.8,78,68.1,67.9,68.1
,Ngoma,81.6,75.2,82.2,82.6,75.6,83.3,79.4,74.2,79.9
,Bugesera,71.6,66.6,75,72.7,67.5,76.4,68.7,64.1,71.5
