0,1,2,3,4,5,6
Table 62: Percentage of households with separate bedrooms for girls and boys by district,,,,,,
,Province/District,Sex of Household-Head,,,Area of residence,
,,Total,Male Head,Female Head,Urban,Rural
,Rwanda,78.2,78.9,76.2,77.7,78.4
,City of Kigali,73.3,74.1,70.3,73.1,74.1
,Nyarugenge,68,68.6,66.5,68,68.2
,Gasabo,72.9,73.5,70.5,72.1,75.6
,Kicukiro,77.9,79.1,73.3,77.9,76.5
,Southern Province,74.2,74.7,72.9,77.1,73.8
,Nyanza,67.2,67.7,66.1,77.8,66.2
,Gisagara,73.9,74.3,73,77.7,73.8
,Nyaruguru,79.5,79.3,80.1,73,79.7
,Huye,72.8,72.9,72.7,75.9,72.2
,Nyamagabe,75.9,76.4,74.7,74.4,76.1
,Ruhango,70.8,71.6,69,74.1,70.4
,Muhanga,79.7,80.3,77.9,80.6,79.5
,Kamonyi,74.3,75.1,72.2,77.4,73
,Western Province,82,82.6,80.4,81.9,82.1
,Karongi,75.7,76.2,74.3,77.1,75.5
,Rutsiro,82.2,83,80,87.3,81.9
,Rubavu,83.2,83.6,81.9,80.9,85.8
,Nyabihu,87.7,87.7,87.6,86.7,88
,Ngororero,78,78.3,77.2,86.7,77.5
,Rusizi,83.5,84.2,80.9,81,84.7
,Nyamasheke,83.5,84.1,81.4,81.7,83.7
,Northern Province,86.4,86.8,85,87.7,86.1
,Rulindo,83.7,84.2,81.8,77.8,84.4
,Gakenke,86.3,86.8,84.5,88,86.2
,Musanze,89,89.3,88,89.3,88.7
,Burera,89.1,89.5,87.4,90.6,89
,Gicumbi,83.7,83.8,83.1,84,83.7
,Eastern Province,75.7,76.3,74,77.2,75.3
,Rwamagana,76.5,76.9,75.4,78.5,75.5
,Nyagatare,76.6,77.1,75,75.4,76.9
,Gatsibo,76.3,76.6,75.6,78.6,76.1
,Kayonza,74.4,74.7,73.5,73.3,74.6
,Kirehe,76.9,78.6,73.1,83.8,76.5
,Ngoma,75.5,76.2,73.7,79.2,75.1
, Bugesera,73.2,73.8,71.5,77.1,70.7
