0,1,2,3,4,5,6,7,8,9
Table 89: Different types of livestock owned by the private households by District (Urban + Rural),,,,,,,,,
,Province and district,Cows,Goat,Sheep,Pigs,Rabbits,Chicken,Other poultry,Other
,Rwanda,1424180,1513140,331748,786191,361330,2583333,90802,53755
,City of Kigali ,40626,57777,4179,25995,36551,398326,7668,5207
,  Nyarugenge,6377,13069,428,3491,7255,64680,1641,1362
,  Gasabo,28182,33041,2050,16645,20247,196793,3435,2665
,  Kicukiro,6067,11667,1701,5859,9049,136853,2592,1180
,Southern province ,389419,428181,37005,302117,135947,571583,15093,12589
,  Nyanza,44852,75484,2754,20366,11759,76507,1832,947
,  Gisagara,39720,77344,2566,31613,19435,71824,807,1936
,  Nyaruguru,53388,31682,4234,30187,7622,26569,90,1139
,  Huye,39152,45886,3686,46734,16573,80597,753,1091
,  Nyamagabe,58467,40528,6435,55635,11176,46076,333,2564
,  Ruhango,42240,55104,3434,27477,15136,61154,2029,982
,  Muhanga,62505,34346,8628,46994,26643,76555,3580,1620
,  Kamonyi,49095,67807,5268,43111,27603,132301,5669,2310
,Western  province ,305047,179854,111128,183928,49312,291465,7544,17330
,  Karongi,61929,41536,5814,28955,8066,53387,538,1260
,  Rutsiro,48555,21098,18319,24958,8985,26994,1121,3187
,  Rubavu,26336,14979,29923,12235,3638,62634,2593,2033
,  Nyabihu,34420,11795,33408,10978,2902,25361,164,493
,  Ngororero,64521,21925,14949,39062,16149,30914,892,1479
,  Rusizi,26214,38769,4365,35323,4169,61698,2046,6506
,  Nyamasheke,43072,29752,4350,32417,5403,30477,190,2372
,Northern  province ,298262,181982,135517,130679,55520,383319,6741,4305
,  Rulindo,57955,37878,15314,26315,18430,134177,2403,1368
,  Gakenke,70928,40729,21060,39640,15210,81342,699,475
,  Musanze,34384,20123,35005,24546,4524,69931,844,542
,  Burera,46024,24347,35617,18577,2935,27840,674,478
,  Gicumbi,88971,58905,28521,21601,14421,70029,2121,1442
,Eastern  province ,390826,665346,43919,143472,84000,938640,53756,14324
,  Rwamagana,37833,68300,7345,24270,17472,221771,5595,2094
,  Nyagatare,122638,112597,12460,15597,9902,110044,8287,2357
,  Gatsibo,69962,96080,6226,22027,17283,73456,4820,2109
,  Kayonza,55249,100998,5357,19833,8843,75147,7423,1724
,  Kirehe,37294,101444,5168,14996,4737,60080,9377,1129
,  Ngoma,33438,85595,2830,22290,8456,84381,12815,2179
,  Bugesera,34412,100332,4533,24459,17307,313761,5439,2732
